training_root,algorithm,scenario,episodes,operational_return_mean,operational_return_std,delivered_ratio_mean,sla_violations_demand_intervals_mean,max_utilization_mean,loss_ratio_mean,delay_ms_mean,reroutes_per_hour_mean,moved_mbps_total_mean,protected_disconnection_demand_intervals_mean,unprotected_disconnection_demand_intervals_mean
314159,maskable_ppo,overload_stress,5,-92.16899338148909,12.752944637251076,0.8897370676028356,387.8,1.4094019259446036,0.10932273758081328,77.78063780632456,1.9,1581.2673053825213,0.0,0.0
314159,masked_bandit,full_day,5,347.62570701494985,21.822468505771337,0.9897384866264662,151.2,0.8244541797467576,0.01003441950309906,22.965983683970336,0.3583333333333334,820.4094537534808,0.0,0.0
314159,masked_bandit,evening_peak,5,44.850566096037824,16.486482830174918,0.9848285548555543,120.6,1.0066869710350743,0.014932946484215179,30.191022793385894,0.7428571428571429,1166.7472171383706,0.0,0.0
314159,masked_bandit,flash_crowd,5,-39.6990988924836,9.431440813821357,0.9352420863567698,218.8,1.2841398918664244,0.06362218231193302,46.86831009169446,2.8,1793.2088947943128,0.0,0.0
314159,masked_bandit,link_failure,5,10.85639989966334,5.960790637771117,0.9820057744796629,143.6,1.0592900063321276,0.01770332242277624,33.38966604225389,2.0799999999999996,1695.3525044527628,0.0,0.0
314159,masked_bandit,deceptive_local_optimum,5,95.10961445931008,5.065683254871149,0.9994944259143855,9.8,0.7346382011390892,0.00049752589367352,16.89913830434427,0.64,546.3904865127327,0.0,0.0
314159,masked_bandit,ood_double_failure,5,-179.63641523052797,8.412649584000029,0.8985537305335747,133.4,0.843443646003635,0.10143726026756143,17.62105169819788,1.9600000000000002,1112.4810068203885,25.0,75.0
314159,masked_bandit,overload_stress,5,-70.50602699012248,14.72088201492347,0.9012870792572809,309.2,1.4069873218948252,0.0978590999632806,69.34074468209295,2.75,1814.7416848722983,0.0,0.0
314159,static,full_day,5,4.906714127531961,31.978090172146338,0.9602228543232121,752.0,1.101008579992569,0.039231191966598175,30.910812025462427,0.0,0.0,0.0,0.0
314159,static,evening_peak,5,-117.25801389439866,14.898958255623018,0.910478710114177,360.8,1.4600658715193462,0.08890121970803691,39.87749814711824,0.0,0.0,0.0,0.0
314159,static,flash_crowd,5,-121.50334886015678,13.364768095975919,0.8643356332646153,321.4,1.6346396307723954,0.1343466654198166,48.948076125127,0.0,0.0,0.0,0.0
314159,static,link_failure,5,-73.59407193530669,16.54314338022902,0.9234116699447876,261.8,1.3870135464418376,0.07599221310908676,40.39980211743258,1.2,929.3240239501031,0.0,0.0
314159,static,deceptive_local_optimum,5,14.468661204162817,9.30394834909294,0.9773713253033437,139.0,1.0256836437943508,0.02241750741755122,27.227016835164484,0.0,0.0,0.0,0.0
314159,static,ood_double_failure,5,-222.33324811262992,9.710536453732578,0.8893622713349989,227.6,0.97926994738442,0.110520789875059,22.89151319053515,1.4,495.9513200475255,25.0,75.0
314159,static,overload_stress,5,-146.2553497710088,7.698345654618547,0.8083541657484842,327.6,2.0984617623895097,0.19081737264041337,60.207340654199506,0.0,0.0,0.0,0.0
314159,greedy,full_day,5,268.1100081959362,25.2109842843767,0.9824492510345605,266.8,0.8722539798021074,0.01721398744037862,25.517678990408022,2.9666666666666663,21801.694755572138,0.0,0.0
314159,greedy,evening_peak,5,12.088695371171351,20.138936643845582,0.9736296474016048,167.8,1.062295412261704,0.026080724232141757,33.11468604773664,5.228571428571429,9869.66551875387,0.0,0.0
314159,greedy,flash_crowd,5,-50.04081478354603,19.118908042073162,0.9310515405684721,231.6,1.2928836428388162,0.06779652703505172,47.163150199748756,6.640000000000001,10747.216928519038,0.0,0.0
314159,greedy,link_failure,5,-12.969457859685619,11.621185295356998,0.970502397861987,171.4,1.119121684600167,0.029100618391080135,36.07803426789883,5.760000000000001,7473.796283484402,0.0,0.0
314159,greedy,deceptive_local_optimum,5,90.1869011461926,9.373617625133711,0.9988002611192538,14.4,0.7556780287924771,0.0011755324860189599,17.136777181071295,1.44,1454.2782299912844,0.0,0.0
314159,greedy,ood_double_failure,5,-170.71205610274524,1.977884715312763,0.898790858896455,123.4,0.8099069968935133,0.10120396851262584,16.679160602997026,2.2800000000000002,1693.4695453959307,25.0,75.0
314159,greedy,overload_stress,5,-91.39516303520055,7.535220752339977,0.8929480773631063,320.2,1.5027729526292597,0.1061832537135495,68.39787083353691,7.9,10599.665980199401,0.0,0.0
314159,cspf,full_day,5,221.941225904257,39.51428268927265,0.9823474399150331,367.4,0.9311150409836138,0.01732185713820846,25.503928737355913,0.12499999999999997,887.0586362927224,0.0,0.0
314159,cspf,evening_peak,5,-34.13730133456811,17.34998450742277,0.9594891921754367,263.0,1.199091411965024,0.0400845060572142,35.06269878790453,0.3999999999999999,515.34894833892,0.0,0.0
314159,cspf,flash_crowd,5,-57.42923266924531,7.167656521467702,0.9276813270634408,254.2,1.3355535119373951,0.07122903640332508,45.58819074069309,0.8,712.7864195891142,0.0,0.0
314159,cspf,link_failure,5,-26.632329971289483,21.51949869595383,0.9576962540287187,196.4,1.2043997487420348,0.04188398455712354,37.63345313339997,1.44,1086.9016375760668,0.0,0.0
314159,cspf,deceptive_local_optimum,5,65.12921090839504,14.5611367950065,0.9948030167691305,48.6,0.8610276919543389,0.005142123158626261,19.82257259606663,0.2,140.43846194676672,0.0,0.0
314159,cspf,ood_double_failure,5,-218.44528566401846,10.98362437559462,0.8904860195611217,223.4,0.9677470581434904,0.10940241241829458,22.515573173071616,0.8,272.87017050798505,25.0,75.0
314159,cspf,overload_stress,5,-120.58373906889376,18.714577581728406,0.8494774322577088,342.4,1.77816434407586,0.14963697629471934,63.473087198273944,0.75,788.4447142723802,0.0,0.0
271828,maskable_ppo,full_day,5,343.20969591128767,16.15196254504231,0.988975647985367,180.0,0.8142895394486007,0.01077800296665052,24.695617231644697,0.9916666666666666,1528.6643347401123,0.0,0.0
271828,maskable_ppo,evening_peak,5,37.024246943566226,16.57011699648916,0.9835665915599947,171.8,1.0038300720573377,0.01617543103293078,34.67841794042208,1.2285714285714286,1020.7997042854034,0.0,0.0
271828,maskable_ppo,flash_crowd,5,-41.28009907879733,10.68240953762423,0.9355886462000118,246.6,1.2545949894120265,0.06325516310426493,51.02052728406818,1.6800000000000002,1035.3700872000422,0.0,0.0
271828,maskable_ppo,link_failure,5,-22.015189187026134,12.988945706950268,0.9665354057422315,188.0,1.1380636951501792,0.033098431946068166,38.455284414620074,6.76,3486.992676588183,0.0,0.0
271828,maskable_ppo,deceptive_local_optimum,5,104.73190911884107,5.819739234183286,0.9999291859944692,1.6,0.6737302860855745,6.839411448856164e-05,17.06725621840812,1.8,693.0860336472067,0.0,0.0
271828,maskable_ppo,ood_double_failure,5,-186.6855056863388,4.192195110427256,0.8962316170950855,137.6,0.8280623586641205,0.1037378130021622,18.257080713730478,6.960000000000001,2677.4227873605073,25.0,75.0
271828,maskable_ppo,overload_stress,5,-91.59658775587461,14.028599641145608,0.8957759822268294,404.2,1.3912726164145424,0.10324721685606317,75.50741323367808,1.8,1349.6537718518643,0.0,0.0
271828,masked_bandit,full_day,5,342.96372049708395,27.331911434710495,0.9902643383538114,157.0,0.8294162034025895,0.00951755333658876,23.67845090448815,0.6166666666666667,1593.8739961237548,0.0,0.0
271828,masked_bandit,evening_peak,5,40.61981540573377,20.664597737763312,0.9850761788728807,129.6,1.0067920457818966,0.014692220463447822,30.980936437153098,1.5428571428571427,2333.7640142478094,0.0,0.0
271828,masked_bandit,flash_crowd,5,-42.19209371615815,4.334109673801035,0.9355700248282839,227.2,1.2830227988437461,0.06333254718754233,52.35196311771299,3.84,3534.4912262883636,0.0,0.0
271828,masked_bandit,link_failure,5,-0.7395900622954669,13.080815300830327,0.9758684473128477,164.2,1.083384255708992,0.02383529335670334,36.270194135966705,3.6800000000000006,2861.4733337584476,0.0,0.0
271828,masked_bandit,deceptive_local_optimum,5,99.70166810463368,5.768782371203329,0.999534948628256,8.2,0.7018848277787308,0.0004555257373225198,16.90373637052354,1.1199999999999999,808.6173387405853,0.0,0.0
271828,masked_bandit,ood_double_failure,5,-179.54779896539148,4.84526266286285,0.8984096905703522,129.6,0.8278125515466709,0.10158195055360145,17.924404772910897,4.720000000000001,1718.4406284826778,25.0,75.0
271828,masked_bandit,overload_stress,5,-87.41965448659043,11.72231083888722,0.8799190189599155,321.6,1.4839034156216226,0.11916336943835507,77.27189274527929,4.6,3929.0843970997857,0.0,0.0
271828,static,full_day,5,4.906714127531961,31.978090172146338,0.9602228543232121,752.0,1.101008579992569,0.039231191966598175,30.910812025462427,0.0,0.0,0.0,0.0
271828,static,evening_peak,5,-117.25801389439866,14.898958255623018,0.910478710114177,360.8,1.4600658715193462,0.08890121970803691,39.87749814711824,0.0,0.0,0.0,0.0
271828,static,flash_crowd,5,-121.50334886015678,13.364768095975919,0.8643356332646153,321.4,1.6346396307723954,0.1343466654198166,48.948076125127,0.0,0.0,0.0,0.0
271828,static,link_failure,5,-73.59407193530669,16.54314338022902,0.9234116699447876,261.8,1.3870135464418376,0.07599221310908676,40.39980211743258,1.2,929.3240239501031,0.0,0.0
271828,static,deceptive_local_optimum,5,14.468661204162817,9.30394834909294,0.9773713253033437,139.0,1.0256836437943508,0.02241750741755122,27.227016835164484,0.0,0.0,0.0,0.0
271828,static,ood_double_failure,5,-222.33324811262992,9.710536453732578,0.8893622713349989,227.6,0.97926994738442,0.110520789875059,22.89151319053515,1.4,495.9513200475255,25.0,75.0
271828,static,overload_stress,5,-146.2553497710088,7.698345654618547,0.8083541657484842,327.6,2.0984617623895097,0.19081737264041337,60.207340654199506,0.0,0.0,0.0,0.0
271828,greedy,full_day,5,268.1100081959362,25.2109842843767,0.9824492510345605,266.8,0.8722539798021074,0.01721398744037862,25.517678990408022,2.9666666666666663,21801.694755572138,0.0,0.0
271828,greedy,evening_peak,5,12.088695371171351,20.138936643845582,0.9736296474016048,167.8,1.062295412261704,0.026080724232141757,33.11468604773664,5.228571428571429,9869.66551875387,0.0,0.0
271828,greedy,flash_crowd,5,-50.04081478354603,19.118908042073162,0.9310515405684721,231.6,1.2928836428388162,0.06779652703505172,47.163150199748756,6.640000000000001,10747.216928519038,0.0,0.0
271828,greedy,link_failure,5,-12.969457859685619,11.621185295356998,0.970502397861987,171.4,1.119121684600167,0.029100618391080135,36.07803426789883,5.760000000000001,7473.796283484402,0.0,0.0
271828,greedy,deceptive_local_optimum,5,90.1869011461926,9.373617625133711,0.9988002611192538,14.4,0.7556780287924771,0.0011755324860189599,17.136777181071295,1.44,1454.2782299912844,0.0,0.0
271828,greedy,ood_double_failure,5,-170.71205610274524,1.977884715312763,0.898790858896455,123.4,0.8099069968935133,0.10120396851262584,16.679160602997026,2.2800000000000002,1693.4695453959307,25.0,75.0
271828,greedy,overload_stress,5,-91.39516303520055,7.535220752339977,0.8929480773631063,320.2,1.5027729526292597,0.1061832537135495,68.39787083353691,7.9,10599.665980199401,0.0,0.0
271828,cspf,full_day,5,221.941225904257,39.51428268927265,0.9823474399150331,367.4,0.9311150409836138,0.01732185713820846,25.503928737355913,0.12499999999999997,887.0586362927224,0.0,0.0
271828,cspf,evening_peak,5,-34.13730133456811,17.34998450742277,0.9594891921754367,263.0,1.199091411965024,0.0400845060572142,35.06269878790453,0.3999999999999999,515.34894833892,0.0,0.0
271828,cspf,flash_crowd,5,-57.42923266924531,7.167656521467702,0.9276813270634408,254.2,1.3355535119373951,0.07122903640332508,45.58819074069309,0.8,712.7864195891142,0.0,0.0
271828,cspf,link_failure,5,-26.632329971289483,21.51949869595383,0.9576962540287187,196.4,1.2043997487420348,0.04188398455712354,37.63345313339997,1.44,1086.9016375760668,0.0,0.0
271828,cspf,deceptive_local_optimum,5,65.12921090839504,14.5611367950065,0.9948030167691305,48.6,0.8610276919543389,0.005142123158626261,19.82257259606663,0.2,140.43846194676672,0.0,0.0
271828,cspf,ood_double_failure,5,-218.44528566401846,10.98362437559462,0.8904860195611217,223.4,0.9677470581434904,0.10940241241829458,22.515573173071616,0.8,272.87017050798505,25.0,75.0
271828,cspf,overload_stress,5,-120.58373906889376,18.714577581728406,0.8494774322577088,342.4,1.77816434407586,0.14963697629471934,63.473087198273944,0.75,788.4447142723802,0.0,0.0
