training_root,algorithm,action,count,frequency,is_noop
314159,cspf,27,2,0.0006060606060606061,False
314159,cspf,28,2,0.0006060606060606061,False
314159,cspf,29,6,0.0018181818181818182,False
314159,cspf,30,1,0.00030303030303030303,False
314159,cspf,33,4,0.0012121212121212121,False
314159,cspf,36,4,0.0012121212121212121,False
314159,cspf,37,5,0.0015151515151515152,False
314159,cspf,39,13,0.00393939393939394,False
314159,cspf,50,16,0.0048484848484848485,False
314159,cspf,53,4,0.0012121212121212121,False
314159,cspf,57,1,0.00030303030303030303,False
314159,cspf,59,1,0.00030303030303030303,False
314159,cspf,65,5,0.0015151515151515152,False
271828,maskable_ppo,0,2672,0.8096969696969697,True
271828,maskable_ppo,2,3,0.0009090909090909091,False
271828,maskable_ppo,3,22,0.006666666666666667,False
271828,maskable_ppo,8,40,0.012121212121212121,False
271828,maskable_ppo,12,35,0.010606060606060607,False
271828,maskable_ppo,14,40,0.012121212121212121,False
271828,maskable_ppo,18,40,0.012121212121212121,False
271828,maskable_ppo,23,35,0.010606060606060607,False
271828,maskable_ppo,27,5,0.0015151515151515152,False
271828,maskable_ppo,29,5,0.0015151515151515152,False
271828,maskable_ppo,34,40,0.012121212121212121,False
271828,maskable_ppo,43,10,0.0030303030303030303,False
271828,maskable_ppo,51,35,0.010606060606060607,False
271828,maskable_ppo,54,1,0.00030303030303030303,False
271828,maskable_ppo,55,41,0.012424242424242424,False
271828,maskable_ppo,56,18,0.005454545454545455,False
271828,maskable_ppo,57,114,0.034545454545454546,False
271828,maskable_ppo,58,144,0.04363636363636364,False
271828,masked_bandit,0,2746,0.8321212121212122,True
271828,masked_bandit,5,4,0.0012121212121212121,False
271828,masked_bandit,8,37,0.011212121212121211,False
271828,masked_bandit,10,3,0.0009090909090909091,False
271828,masked_bandit,12,9,0.0027272727272727275,False
271828,masked_bandit,14,68,0.020606060606060607,False
271828,masked_bandit,15,9,0.0027272727272727275,False
271828,masked_bandit,16,49,0.014848484848484849,False
271828,masked_bandit,18,35,0.010606060606060607,False
271828,masked_bandit,23,33,0.01,False
271828,masked_bandit,24,2,0.0006060606060606061,False
271828,masked_bandit,25,3,0.0009090909090909091,False
271828,masked_bandit,26,1,0.00030303030303030303,False
271828,masked_bandit,27,3,0.0009090909090909091,False
271828,masked_bandit,29,20,0.006060606060606061,False
271828,masked_bandit,30,2,0.0006060606060606061,False
271828,masked_bandit,31,21,0.006363636363636364,False
271828,masked_bandit,34,3,0.0009090909090909091,False
271828,masked_bandit,35,17,0.005151515151515152,False
271828,masked_bandit,37,6,0.0018181818181818182,False
271828,masked_bandit,40,7,0.0021212121212121214,False
271828,masked_bandit,41,3,0.0009090909090909091,False
271828,masked_bandit,42,8,0.0024242424242424242,False
271828,masked_bandit,45,5,0.0015151515151515152,False
271828,masked_bandit,47,9,0.0027272727272727275,False
271828,masked_bandit,50,26,0.00787878787878788,False
271828,masked_bandit,52,6,0.0018181818181818182,False
271828,masked_bandit,54,13,0.00393939393939394,False
271828,masked_bandit,55,18,0.005454545454545455,False
271828,masked_bandit,56,17,0.005151515151515152,False
271828,masked_bandit,58,16,0.0048484848484848485,False
271828,masked_bandit,59,10,0.0030303030303030303,False
271828,masked_bandit,60,1,0.00030303030303030303,False
271828,masked_bandit,61,10,0.0030303030303030303,False
271828,masked_bandit,63,16,0.0048484848484848485,False
271828,masked_bandit,64,12,0.0036363636363636364,False
271828,masked_bandit,65,8,0.0024242424242424242,False
271828,masked_bandit,67,10,0.0030303030303030303,False
271828,masked_bandit,68,34,0.010303030303030303,False
271828,static,0,3235,0.9803030303030303,True
271828,static,1,5,0.0015151515151515152,False
271828,static,5,5,0.0015151515151515152,False
271828,static,9,5,0.0015151515151515152,False
271828,static,13,5,0.0015151515151515152,False
271828,static,17,10,0.0030303030303030303,False
271828,static,25,10,0.0030303030303030303,False
271828,static,29,5,0.0015151515151515152,False
271828,static,33,5,0.0015151515151515152,False
271828,static,53,5,0.0015151515151515152,False
271828,static,61,5,0.0015151515151515152,False
271828,static,65,5,0.0015151515151515152,False
271828,greedy,0,2200,0.6666666666666666,True
271828,greedy,5,7,0.0021212121212121214,False
271828,greedy,6,12,0.0036363636363636364,False
271828,greedy,7,3,0.0009090909090909091,False
271828,greedy,8,37,0.011212121212121211,False
271828,greedy,12,1,0.00030303030303030303,False
271828,greedy,13,72,0.02181818181818182,False
271828,greedy,14,104,0.03151515151515152,False
271828,greedy,15,22,0.006666666666666667,False
271828,greedy,16,9,0.0027272727272727275,False
271828,greedy,17,29,0.008787878787878787,False
271828,greedy,18,128,0.03878787878787879,False
271828,greedy,19,17,0.005151515151515152,False
271828,greedy,20,98,0.029696969696969697,False
271828,greedy,21,27,0.008181818181818182,False
271828,greedy,22,5,0.0015151515151515152,False
271828,greedy,23,49,0.014848484848484849,False
271828,greedy,26,3,0.0009090909090909091,False
271828,greedy,27,9,0.0027272727272727275,False
271828,greedy,29,8,0.0024242424242424242,False
271828,greedy,30,21,0.006363636363636364,False
271828,greedy,31,15,0.004545454545454545,False
271828,greedy,32,3,0.0009090909090909091,False
271828,greedy,33,5,0.0015151515151515152,False
271828,greedy,34,4,0.0012121212121212121,False
271828,greedy,35,11,0.0033333333333333335,False
271828,greedy,36,12,0.0036363636363636364,False
271828,greedy,37,84,0.025454545454545455,False
271828,greedy,38,90,0.02727272727272727,False
271828,greedy,39,2,0.0006060606060606061,False
271828,greedy,45,31,0.009393939393939394,False
271828,greedy,46,12,0.0036363636363636364,False
271828,greedy,47,7,0.0021212121212121214,False
271828,greedy,48,18,0.005454545454545455,False
271828,greedy,49,21,0.006363636363636364,False
271828,greedy,50,41,0.012424242424242424,False
271828,greedy,51,3,0.0009090909090909091,False
271828,greedy,52,3,0.0009090909090909091,False
271828,greedy,57,28,0.008484848484848486,False
271828,greedy,58,42,0.012727272727272728,False
271828,greedy,59,2,0.0006060606060606061,False
271828,greedy,62,4,0.0012121212121212121,False
271828,greedy,63,1,0.00030303030303030303,False
271828,cspf,0,3175,0.9621212121212122,True
271828,cspf,1,5,0.0015151515151515152,False
271828,cspf,13,7,0.0021212121212121214,False
271828,cspf,14,2,0.0006060606060606061,False
271828,cspf,18,31,0.009393939393939394,False
271828,cspf,19,4,0.0012121212121212121,False
271828,cspf,25,7,0.0021212121212121214,False
271828,cspf,26,5,0.0015151515151515152,False
271828,cspf,27,2,0.0006060606060606061,False
271828,cspf,28,2,0.0006060606060606061,False
271828,cspf,29,6,0.0018181818181818182,False
271828,cspf,30,1,0.00030303030303030303,False
271828,cspf,33,4,0.0012121212121212121,False
271828,cspf,36,4,0.0012121212121212121,False
271828,cspf,37,5,0.0015151515151515152,False
271828,cspf,39,13,0.00393939393939394,False
271828,cspf,50,16,0.0048484848484848485,False
271828,cspf,53,4,0.0012121212121212121,False
271828,cspf,57,1,0.00030303030303030303,False
271828,cspf,59,1,0.00030303030303030303,False
271828,cspf,65,5,0.0015151515151515152,False
